[2025-10-20 22:01:33.762] [ UPS, Battery U: 14.4 V; I: 46 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2E 00 01 86 A0 01] DLC: 8
[2025-10-20 22:01:37.750] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:01:41.743] [ UPS, Battery U: 14.4 V; I: 49 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 31 00 01 86 A0 01] DLC: 8
[2025-10-20 22:01:45.732] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:01:49.722] [ UPS, Battery U: 14.4 V; I: 46 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2E 00 01 86 A0 01] DLC: 8
[2025-10-20 22:01:53.709] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:01:57.701] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:02:01.692] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:02:05.681] [ UPS, Battery U: 14.4 V; I: 46 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2E 00 01 86 A0 01] DLC: 8
[2025-10-20 22:02:09.669] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:02:13.663] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:02:17.651] [ UPS, Battery U: 14.4 V; I: 49 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 31 00 01 86 A0 01] DLC: 8
[2025-10-20 22:02:21.639] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:02:25.628] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:02:29.619] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:02:33.612] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:02:37.598] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
