[2025-10-20 22:01:34.759] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:01:38.750] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:01:42.740] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:01:46.730] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:01:50.719] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:01:54.710] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:01:58.696] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:02:02.689] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:02:06.679] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:02:10.669] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:02:14.660] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:02:18.649] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:02:22.638] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:02:26.628] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:02:30.621] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:02:34.608] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:02:38.599] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:02:42.589] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:02:46.579] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:02:50.569] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:02:54.559] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:02:58.548] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:03:02.538] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:03:06.527] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:03:10.517] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:03:14.507] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:03:18.497] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:03:22.487] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
