[2025-10-20 22:01:32.200] [ Kotel, State: 194: ActTemp: 50.68 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 CC 37 32 2B 29 05] DLC: 8
[2025-10-20 22:01:33.208] [ Kotel, State: 194: ActTemp: 50.68 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 CC 37 32 2B 29 05] DLC: 8
[2025-10-20 22:01:34.200] [ Kotel, State: 194: ActTemp: 50.68 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 CC 37 32 2B 29 05] DLC: 8
[2025-10-20 22:01:35.200] [ Kotel, State: 194: ActTemp: 50.68 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 CC 37 32 2B 29 05] DLC: 8
[2025-10-20 22:01:36.200] [ Kotel, State: 194: ActTemp: 50.68 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 CC 37 32 2B 29 05] DLC: 8
[2025-10-20 22:01:37.201] [ Kotel, State: 194: ActTemp: 50.68 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 CC 37 32 2B 29 05] DLC: 8
[2025-10-20 22:01:38.200] [ Kotel, State: 194: ActTemp: 50.68 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 CC 37 32 2B 29 05] DLC: 8
[2025-10-20 22:01:39.201] [ Kotel, State: 194: ActTemp: 50.62 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C6 37 32 2B 29 05] DLC: 8
[2025-10-20 22:01:40.197] [ Kotel, State: 194: ActTemp: 50.62 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C6 37 32 2B 29 05] DLC: 8
[2025-10-20 22:01:41.201] [ Kotel, State: 194: ActTemp: 50.62 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C6 37 32 2B 29 05] DLC: 8
[2025-10-20 22:01:42.197] [ Kotel, State: 194: ActTemp: 50.62 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C6 37 32 2B 29 05] DLC: 8
[2025-10-20 22:01:43.200] [ Kotel, State: 194: ActTemp: 50.62 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C6 37 32 2B 29 05] DLC: 8
[2025-10-20 22:01:44.190] [ Kotel, State: 194: ActTemp: 50.62 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C6 37 32 2B 29 05] DLC: 8
[2025-10-20 22:01:45.190] [ Kotel, State: 194: ActTemp: 50.62 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C6 37 32 2B 29 05] DLC: 8
[2025-10-20 22:01:46.191] [ Kotel, State: 194: ActTemp: 50.62 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C6 37 32 2B 29 05] DLC: 8
[2025-10-20 22:01:47.196] [ Kotel, State: 194: ActTemp: 50.62 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C6 37 32 2B 29 05] DLC: 8
[2025-10-20 22:01:48.192] [ Kotel, State: 194: ActTemp: 50.62 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C6 37 32 2B 29 05] DLC: 8
[2025-10-20 22:01:49.194] [ Kotel, State: 194: ActTemp: 50.62 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C6 37 32 2B 29 05] DLC: 8
